INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
University of St. Augustine for Health Sciences,San Marcos,CA,92069,3,2,-117.165964,33.151849
Hypnosis Motivation Institute,Tarzana,CA,91356-4159,-2,1,-118.538719,34.170219
Thanh Le College School of Cosmetology,Garden Grove,CA,92840,-2,1,-117.908306,33.789713
Downey Adult School,Downey,CA,90241,-2,1,-118.115727,33.91965
CRU Institute of Cosmetology and Barbering,Garden Grove,CA,92845-4321,-2,1,-118.030758,33.790145
Modern Technology School,Fountain Valley,CA,92708,-2,1,-117.918837,33.723142
National Career Education,Citrus Heights,CA,95610,-2,1,-121.273917,38.679835
North-West College-Glendale,Glendale,CA,91203,-2,1,-118.255462,34.148981
Fremont University,Cerritos,CA,90703,1,1,-118.097019,33.868382
Pomona Unified School District Adult and Career Education,Pomona,CA,91767,-2,1,-117.720478,34.061736
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,90008,-2,1,-118.332236,34.004498
Bellus Academy-Poway,Poway,CA,92064,-2,1,-117.042531,32.957184
Capstone College,Pasadena,CA,91103,-2,1,-118.149478,34.165741
Central Coast College,Salinas,CA,93906,2,1,-121.652394,36.706345
Pacific College of Health and Science,San Diego,CA,92108-4407,2,1,-117.16073,32.778391
CET-Coachella,Coachella,CA,92236,-2,1,-116.185875,33.692248
CET-Oxnard,Oxnard,CA,93030,-2,1,-119.18145,34.194208
CET-Santa Maria,Santa Maria,CA,93458,-2,1,-120.441978,34.943576
Mt. Diablo Adult Education-Mt. Diablo USD,Concord,CA,94518-1199,-2,1,-122.026805,37.968852
Hacienda La Puente Adult Education,La Puente,CA,91746-0002,-2,1,-117.979139,34.043301
UEI College-Ontario,Ontario,CA,91764-5574,-2,2,-117.547733,34.0694
UEI College-Reseda,Reseda,CA,91335-4631,-2,2,-118.526784,34.200881
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,94704,1,1,-122.267636,37.862754
UEI College-Gardena,Gardena,CA,90247-4201,-2,2,-118.287234,33.893016
Asian-American International Beauty College,Westminster,CA,92683,-2,1,-117.991643,33.759524
Copper Mountain Community College,Joshua Tree,CA,92252,2,2,-116.213939,34.140464
Diversified Vocational College,Los Angeles,CA,90017-1604,-2,1,-118.272364,34.056102
UEI College-Fresno,Fresno,CA,93726-5398,-2,2,-119.789002,36.782858
Santiago Canyon College,Orange,CA,92869-4512,3,4,-117.766762,33.795449
Southern California Institute of Technology,Anaheim,CA,92801-3758,2,1,-117.950661,33.8381
Soka University of America,Aliso Viejo,CA,92656-8081,1,1,-117.735344,33.554546
Summit College,San Bernardino,CA,92408,-2,1,-117.26818,34.072073
Advance Beauty College,Garden Grove,CA,92843,-2,1,-117.952637,33.759905
Los Angeles Pacific College,Los Angeles,CA,90010-1758,1,1,-118.295073,34.062096
World Mission University,Los Angeles,CA,90020,1,1,-118.289484,34.064918
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,90066,1,1,-118.442756,33.993287
California State University-Monterey Bay,Seaside,CA,93955-8001,3,3,-121.796178,36.652397
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA,90010,-2,1,-118.295677,34.062273
Spartan College of Aeronautics & Technology,Inglewood,CA,90301-2904,2,1,-118.377744,33.956018
Premiere Career College,Irwindale,CA,91706-3746,1,1,-117.990894,34.079755
Estes Institute of Cosmetology Arts and Science,Visalia,CA,93291,-2,1,-119.289234,36.330422
Baldwin Park Adult & Community Education,Baldwin Park,CA,91706-4221,-2,1,-117.959486,34.09673
Ventura Adult and Continuing Education,Ventura,CA,93003-0000,-2,1,-119.219561,34.256061
Central California School of Continuing Education,San Luis Obispo,CA,93401,-2,1,-120.64847,35.262091
San Joaquin Valley College-Trades Education Center,Fresno,CA,93727-1501,1,1,-119.72824,36.776798
Pacific College,Costa Mesa,CA,92626-3402,2,1,-117.873382,33.680043
American College of Healthcare and Technology,Riverside,CA,92505,-2,1,-117.493507,33.901581
John Wesley International Barber and Beauty College,Long Beach,CA,90813,-2,1,-118.18469,33.778235
San Bernardino Community College District,San Bernardino,CA,92408,-2,-2,-117.273664,34.067005
Institute of Technology,Clovis,CA,93612,2,2,-119.723249,36.83679
South Orange County Community College District,Mission Viejo,CA,92692-6399,-2,-2,-117.665584,33.553346
Platt College-Ontario,Ontario,CA,91764,2,1,-117.571744,34.068595
American University of Health Sciences,Signal Hill,CA,90755-3612,2,1,-118.171366,33.796849
Career Networks Institute,Santa Ana,CA,92705,2,2,-117.8478,33.721058
California Aeronautical University,Bakersfield,CA,93308,1,1,-119.049264,35.434905
Pima Medical Institute-Chula Vista,Chula Vista,CA,91910,2,1,-117.093388,32.619858
Los Angeles Film School,Hollywood,CA,90028,3,3,-118.3284,34.098338
Professional Golfers Career College,Temecula,CA,92591,1,1,-117.163739,33.528952
Carrington College-San Jose,San Jose,CA,95138,2,1,-121.777062,37.248411
